BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
343526	477455	188	343526				0.0214630618157528	0.573957016434892	0.0893327437736738
200914	550216	275	200914				0.124330689482227	0.936708860759494	0.299170721566609
218449	458393	254	218449				0.933003300666778	1.04	0.970827758801918
289052	515010	186	289052				0.0183721843640257	0.76865671641791	0.0785921220016655
240551	763602	174	240551				0.00763494444251104	1.86538461538462	0.0474229648477365
213697	456893	232	213697				0.137857293554934	0.764705882352941	0.321667018294846
227767	523660	211	227767				0.0137158669497476	0.887788778877888	0.0674120269232276
233287	641829	201	233287				0.0499385125521183	1.44594594594595	0.167081852770653
558744	283909	201	558744				0.0849273870234465	1.13392857142857	0.239524634855403
227703	508685	299	227703				0.000458438141921825	0.471571906354515	0.0130808102305333
295010	292802	88	295010				0.301718291138734	0.972444199503996	0.524037031977801
300280	498851	85	300280				0.241306828926139	0.968710888610763	0.462588194870856
200421	324479	100	200421				0.834293882256759	0.893793648702069	0.927899731828286
199942	431285	104	199942				0.225517667388489	0.715820895522388	0.451035334776978
607692	855957	187	607692				0.372880371603159	1.11940298507463	0.580036133604914
281951	246515	187	281951				0.256942906001191	0.950877192982456	0.486448939979121
268312	438220	114	268312				0.200272977307946	0.960154241645244	0.419877369210118
211946	470440	184	211946				0.00108196390889126	4.66167664670659	0.0174601881892188
204522	475916	85	204522				0.0479982150640076	1.17417417417417	0.164136311911444
214426	694613	318	214426				0.907715133834499	0.908256880733945	0.950939664017094
362144	674153	174	362144				0.0483842740188749	0.761609907120743	0.164136311911444
274743	445506	109	274743				0.821242138517753	0.921282798833819	0.923148097311927
213386	565582	241	213386				0.383281573340767	0.914590747330961	0.590889369210138
597213	634167	129	597213				0.791172765359949	0.953954413339452	0.910095006448734
285341	240517	244	285341				0.00664155223764142	0.944444444444444	0.0444695236781208
701048	840947	159	701048				0.713426721338158	1.04884318766067	0.851687713845553
238267 trisaccharide	1122259	361	238267				0.0158930259719226	0.887096774193548	0.0712871650391091
615131	888025	218	615131				0.419718674588211	1.39442231075697	0.614135042565727
288808	265523	232	288808				1.91598197726024e-05	0.523880597014925	0.00221295918373558
223191	510626	185	223191				0.663406223556853	0.962616822429907	0.823175529940391
348578	469815	191	348578				0.11174694789562	1.33023255813953	0.28841949680322
475619	243434	137	475619				0.166449714569521	0.958227848101266	0.360798768054248
